"","x"
"1",0.652677042409778
"2",0.0647124934475869
"3",0.676612401846796
"4",0.735371692571789
"5",0.111299667274579
"6",0.0466546178795397
"7",0.130910312291235
"8",0.880956365261227
"9",0.839725489495322
"10",0.868142720079049
"11",0.0333829261362553
"12",0.107906995574012
"13",0.549296889221296
"14",0.109317742520943
"15",0.722590516321361
"16",0.725010275607929
"17",0.789521862752736
"18",0.617478244705126
"19",0.503007366321981
"20",0.456149423029274
"21",0.0346658024936914
"22",0.20963884331286
"23",0.342787279281765
"24",0.545594800729305
"25",0.76948441634886
"26",0.42876468366012
"27",0.686461671022698
"28",0.521868988405913
"29",0.796536368317902
"30",0.903052028268576
"31",0.432457163929939
"32",0.33194047329016
"33",0.917114556068555
"34",0.209279712755233
"35",0.812734744744375
"36",0.300712818279862
"37",0.572182454401627
"38",0.386782174697146
"39",0.279481674544513
"40",0.26004286762327
"41",0.959383608773351
"42",0.0200164176058024
"43",0.0818772569764405
"44",0.926206240663305
"45",0.890942530473694
"46",0.912085010670125
"47",0.718498562229797
"48",0.682527713244781
"49",0.555186460493132
"50",0.401709435740486
"51",0.863837790442631
"52",0.0744139486923814
"53",0.28328448580578
"54",0.162637435365468
"55",0.763896584510803
"56",0.116375716868788
"57",0.167471821419895
"58",0.475883521372452
"59",0.00578844198025763
"60",0.97441329038702
"61",0.114147758577019
"62",0.0807743088807911
"63",0.322919440921396
"64",0.118785094935447
"65",0.985772469080985
"66",0.404147643828765
"67",0.241781906457618
"68",0.354878908256069
"69",0.153240084182471
"70",0.287547626299784
"71",0.256672147195786
"72",0.157690250780433
"73",0.0297716464847326
"74",0.811628371709958
"75",0.579172815196216
"76",0.576731939567253
"77",0.701486865291372
"78",0.0637662003282458
"79",0.502482898533344
"80",0.383949951035902
"81",0.426416348433122
"82",0.544390162220225
"83",0.643638206645846
"84",0.791192386765033
"85",0.846853397553787
"86",0.0726263104006648
"87",0.860110642388463
"88",0.956164636649191
"89",0.926419156603515
"90",0.622734928736463
"91",0.379818396177143
"92",0.487369669834152
"93",0.10006338218227
"94",0.195159256691113
"95",0.213571524713188
"96",0.207682232605293
"97",0.0287714265286922
"98",0.234566427534446
"99",0.107185220113024
"100",0.277315790066496
"101",0.696021954528987
"102",0.26625739177689
"103",0.660476814256981
"104",0.212416518013924
"105",0.00526610156521201
"106",0.1029025062453
"107",0.287400001427159
"108",0.444156096549705
"109",0.692992779891938
"110",0.0208843164145947
"111",0.955751769244671
"112",0.804110624128953
"113",0.911739889765158
"114",0.309466795995831
"115",0.32392787700519
"116",0.138359778327867
"117",0.957560619805008
"118",0.232669175835326
"119",0.0237149074673653
"120",0.0521116268355399
"121",0.932719733798876
"122",0.0387515022885054
"123",0.807113662362099
"124",0.696882099146023
"125",0.388050786918029
"126",0.390583365689963
"127",0.982332567218691
"128",0.21676505706273
"129",0.566959662828594
"130",0.980335618136451
"131",0.574558310909197
"132",0.632866843836382
"133",0.782992921303958
"134",0.856875612633303
"135",0.0415930130984634
"136",0.895225023385137
"137",0.188516585621983
"138",0.387341883964837
"139",0.494502024492249
"140",0.370316362474114
"141",0.693625106709078
"142",0.733155084541067
"143",0.308549733832479
"144",0.972441895864904
"145",0.24333434086293
"146",0.835028138943017
"147",0.390575896250084
"148",0.303574753226712
"149",0.53380883927457
"150",0.607495053205639
"151",0.894327144837007
"152",0.975288388552144
"153",0.676351207774132
"154",0.0911386099178344
"155",0.777949302224442
"156",0.517544393660501
"157",0.652370169293135
"158",0.0954278449062258
"159",0.292120431317016
"160",0.783712422475219
"161",0.31996578280814
"162",0.489277601940557
"163",0.134141912218183
"164",0.653294066200033
"165",0.78392412699759
"166",0.921809286111966
"167",0.258463774109259
"168",0.513232899364084
"169",0.858583321562037
"170",0.151413594372571
"171",0.641468017129228
"172",0.825477347942069
"173",0.972295295679942
"174",0.17312571965158
"175",0.710021871142089
"176",0.110715289367363
"177",0.416779254563153
"178",0.2846213451121
"179",0.341154849855229
"180",0.168895210837945
"181",0.547096898080781
"182",0.797205827664584
"183",0.858630746835843
"184",0.332270423648879
"185",0.515725486213341
"186",0.371684692101553
"187",0.436701348051429
"188",0.742428995436057
"189",0.0111012987326831
"190",0.0469003657344729
"191",0.37181785190478
"192",0.658156762132421
"193",0.529650157084689
"194",0.588913932675496
"195",0.785948208067566
"196",0.707149562425911
"197",0.0501547434832901
"198",0.872144154272974
"199",0.891242010053247
"200",0.939548917114735
"201",0.848769895732403
"202",0.811404374195263
"203",0.824689137749374
"204",0.916008333908394
"205",0.723415146581829
"206",0.621910678921267
"207",0.379483051598072
"208",0.224662108579651
"209",0.0255059150513262
"210",0.382444481598213
"211",0.881673386553302
"212",0.576546683907509
"213",0.879420724697411
"214",0.715013947803527
"215",0.945104592246935
"216",0.433772012358531
"217",0.475368502084166
"218",0.764876200817525
"219",0.762309468118474
"220",0.276107020908967
"221",0.0139295088592917
"222",0.191360186086968
"223",0.508207596605644
"224",0.35713300970383
"225",0.0641959283966571
"226",0.694495361298323
"227",0.911169010680169
"228",0.449594196863472
"229",0.854834523051977
"230",0.751918294467032
"231",0.374545259634033
"232",0.609409488039091
"233",0.7927746551577
"234",0.386679893359542
"235",0.124152964679524
"236",0.2675496567972
"237",0.521273961290717
"238",0.590104377362877
"239",0.886542718159035
"240",0.32878178008832
"241",0.404275392647833
"242",0.047014354262501
"243",0.48053211485967
"244",0.74822907964699
"245",0.443648359272629
"246",0.468462169636041
"247",0.73139314702712
"248",0.293246637564152
"249",0.163580966182053
"250",0.503860285039991
"251",0.192165965680033
"252",0.321273932233453
"253",0.0297329348977655
"254",0.869980632094666
"255",0.647166965063661
"256",0.318806881550699
"257",0.293482208857313
"258",0.669097224017605
"259",0.407680991804227
"260",0.663763634860516
"261",0.0496785468421876
"262",0.495533215813339
"263",0.785123125184327
"264",0.906233663205057
"265",0.0209967838600278
"266",0.162863293662667
"267",0.654907125746831
"268",0.887484326492995
"269",0.92543317261152
"270",0.448821390513331
"271",0.0398023894522339
"272",0.661046989960596
"273",0.174042276106775
"274",0.0266894332598895
"275",0.626593737863004
"276",0.0315727430861443
"277",0.114810244413093
"278",0.951679253717884
"279",0.955425197258592
"280",0.609623392345384
"281",0.104700659867376
"282",0.692146657733247
"283",0.89168707234785
"284",0.737418876960874
"285",0.331607591127977
"286",0.622847308637574
"287",0.765353283146396
"288",0.0776473178993911
"289",0.650668845279142
"290",0.395230689318851
"291",0.781125475186855
"292",0.626846383791417
"293",0.0152954179793596
"294",0.916748053161427
"295",0.133362751919776
"296",0.0799187417142093
"297",0.219676089473069
"298",0.00712548056617379
"299",0.821645687334239
"300",0.113951276987791
"301",0.312969943508506
"302",0.0908805809449404
"303",0.97271288279444
"304",0.852674136171117
"305",0.498993298970163
"306",0.274403697811067
"307",0.291713902028278
"308",0.0536102403420955
"309",0.970454899827018
"310",0.577010068343952
"311",0.498106405837461
"312",0.682937474455684
"313",0.549528908450156
"314",0.48894661013037
"315",0.577504684915766
"316",0.839718143921345
"317",0.0561948621179909
"318",0.799571361159906
"319",0.349967076210305
"320",0.240423214854673
"321",0.465402126545087
"322",0.580548856640235
"323",0.24004268925637
"324",0.186324280686677
"325",0.696715536527336
"326",0.946349126286805
"327",0.0888234281446785
"328",0.246106757083908
"329",0.196999532403424
"330",0.820083915721625
"331",0.711902339477092
"332",0.441897944547236
"333",0.0848808090668172
"334",0.221730962395668
"335",0.186510750325397
"336",0.484718185616657
"337",0.374677964253351
"338",0.709196308394894
"339",0.530019699595869
"340",0.414720672415569
"341",0.286313641816378
"342",0.582169710891321
"343",0.0390941896475852
"344",0.404532861430198
"345",0.453624465269968
"346",0.705486421706155
"347",0.886800726875663
"348",0.988835050025955
"349",0.000715309521183372
"350",0.779500928707421
"351",0.749092136742547
"352",0.413512021070346
"353",0.854451311985031
"354",0.290469416184351
"355",0.583116416819394
